yyyy/mm/dd,Extent(km2)
2023-11-17,14722103.34269391
2023-11-18,14589995.498474546
2023-11-19,14473874.567666642
2023-11-20,14280792.745018836
2023-11-21,14099979.237722434
2023-11-22,13993890.515477283
2023-11-23,13794454.152736656
2023-11-24,13571084.927404258
2023-11-25,13462561.765650246
2023-11-26,13349562.558911534
2023-11-27,13230641.075204544
2023-11-28,13062259.506987238
2023-11-29,12799039.43228225
2023-11-30,12446256.116699109
2023-12-01,12079457.140452715
2023-12-02,11828095.59241377
2023-12-03,11505672.241305195
2023-12-04,11225557.545984168
2023-12-05,10940553.71120633
2023-12-06,10739574.799834516
2023-12-07,10483883.178393815
2023-12-08,10304009.364480011
2023-12-09,10041722.487913057
2023-12-10,9782404.148849687
2023-12-11,9661963.371082645
2023-12-12,9485288.812019538
2023-12-13,9334139.380877167
2023-12-14,9164045.729600418
2023-12-15,8946673.665565172
2023-12-16,8808171.289706985
2023-12-17,8715510.59477862
2023-12-18,8607189.085340554
2023-12-19,8403784.295243945
2023-12-20,8260464.83170871
2023-12-21,8170993.566562795
2023-12-22,8043737.969963193
2023-12-23,7835706.20456021
2023-12-24,7640653.490073819
2023-12-25,7471261.832607124
2023-12-26,7412328.2055417625
2023-12-27,7270494.621645337
2023-12-28,7060667.93918727
2023-12-29,6886661.095222167
2023-12-30,6664553.524508933
2023-12-31,6472006.112756537
